Muestra,Temp
0.697,0.832
0.269,0.832
0.528,0.832
0.528,0.832
0.0,0.832
0.528,0.832
0.269,0.832
0.269,0.697
0.0,0.832
0.0,0.832
0.697,0.697
1.232,0.697
1.051,0.832
0.528,0.832
0.269,0.697
1.051,0.697
0.528,0.697
0.832,0.697
0.269,0.697
0.697,0.697
0.528,0.697
0.697,0.697
0.697,0.697
0.269,0.697
0.697,0.697
1.051,0.697
0.269,0.697
0.0,0.697
0.269,0.697
0.0,0.697
0.0,0.697
0.948,0.697
0.0,0.697
0.0,0.697
0.0,0.697
0.0,0.697
0.697,0.697
0.528,0.697
0.697,0.697
0.0,0.697
0.269,0.697
0.0,0.697
0.0,0.697
0.0,0.832
0.0,0.832
0.0,0.948
0.0,1.0
0.528,1.0
0.0,1.0
0.528,0.948
0.0,1.0
0.528,0.948
0.0,0.948
0.0,1.0
0.269,1.0
0.528,0.948
0.269,0.948
0.0,1.0
0.0,1.0
0.697,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.528,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.269,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
0.0,1.0
1.232,1.0
0.0,1.0
0.269,1.0
0.0,1.0
0.832,1.0
1.145,1.0
0.0,1.0
0.528,1.0
0.697,1.0
1.145,1.0
2.504,1.0
0.269,1.0
1.462,1.0
0.0,1.0
0.948,1.0
0.948,1.0
1.313,1.0
0.832,1.0
0.832,1.0
1.462,1.0
1.722,1.0
